Index, Type  of  the  image , Image  Height , Image  Width , Dimension  of  Image , Image  size , Maximum  RGB , Minimum  RGB , R  channel , G  channel , B  channel , Baza  wygenerowana  przez  Konrad  Szwed  dnia  2019-03-26  22:56:54.196247  |  Zawiera  5000  elementow 
0, <class  'imageio.core.util.Array'> ,426,640,3,817920,239,0,169,155,108
1, <class  'imageio.core.util.Array'> ,640,586,3,1125120,255,0,96,145,40
2, <class  'imageio.core.util.Array'> ,483,640,3,927360,255,0,101,112,104
3, <class  'imageio.core.util.Array'> ,500,375,3,562500,255,0,24,32,34
4, <class  'imageio.core.util.Array'> ,640,428,3,821760,255,0,201,190,172
5, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,209,212,217
6, <class  'imageio.core.util.Array'> ,640,424,3,814080,255,0,45,13,2
7, <class  'imageio.core.util.Array'> ,640,621,3,1192320,255,0,120,156,58
8, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,19,36,54
9, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,169,183,147
10, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,48,52,51
11, <class  'imageio.core.util.Array'> ,640,427,3,819840,255,0,96,65,96
12, <class  'imageio.core.util.Array'> ,500,375,3,562500,255,0,9,5,4
13, <class  'imageio.core.util.Array'> ,512,640,3,983040,255,0,243,243,243
14, <class  'imageio.core.util.Array'> ,315,640,3,604800,255,0,78,78,78
15, <class  'imageio.core.util.Array'> ,240,320,3,230400,255,0,207,212,215
16, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,19,168,202,230
17, <class  'imageio.core.util.Array'> ,612,612,3,1123632,255,0,82,76,78
18, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,14,14,12
19, <class  'imageio.core.util.Array'> ,640,427,3,819840,255,0,238,239,241
20, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,12,12,14
21, <class  'imageio.core.util.Array'> ,419,640,3,804480,255,0,169,163,139
22, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,184,155,149
23, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,26,18,5
24, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,56,76,49
25, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,130,106,128
26, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,94,135,79
27, <class  'imageio.core.util.Array'> ,302,500,3,453000,255,0,70,70,70
28, <class  'imageio.core.util.Array'> ,640,457,3,877440,255,0,6,7,11
29, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,63,107,180
30, <class  'imageio.core.util.Array'> ,640,480,3,921600,255,0,14,70,127
31, <class  'imageio.core.util.Array'> ,375,500,3,562500,255,0,67,73,13
32, <class  'imageio.core.util.Array'> ,366,640,3,702720,255,0,123,124,118
33, <class  'imageio.core.util.Array'> ,555,640,3,1065600,255,0,173,195,172
34, <class  'imageio.core.util.Array'> ,375,500,3,562500,255,0,133,148,179
35, <class  'imageio.core.util.Array'> ,640,443,3,850560,255,0,255,255,255
36, <class  'imageio.core.util.Array'> ,363,640,3,696960,255,0,51,119,184
37, <class  'imageio.core.util.Array'> ,612,612,3,1123632,255,0,74,34,45
38, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,109,111,72
39, <class  'imageio.core.util.Array'> ,384,640,3,737280,255,0,36,53,60
40, <class  'imageio.core.util.Array'> ,375,500,3,562500,255,0,110,38,23
41, <class  'imageio.core.util.Array'> ,500,375,3,562500,255,0,49,48,43
42, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,9,5,2
43, <class  'imageio.core.util.Array'> ,640,425,3,816000,255,0,2,10,12
44, <class  'imageio.core.util.Array'> ,375,500,3,562500,247,0,186,187,191
45, <class  'imageio.core.util.Array'> ,612,612,3,1123632,255,0,110,108,111
46, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,153,146,140
47, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,68,94,81
48, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,209,217,228
49, <class  'imageio.core.util.Array'> ,640,480,3,921600,255,0,148,130,80
50, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,98,99,94
51, <class  'imageio.core.util.Array'> ,349,640,3,670080,255,0,121,157,183
52, <class  'imageio.core.util.Array'> ,500,333,3,499500,255,0,90,90,90
53, <class  'imageio.core.util.Array'> ,640,444,3,852480,255,0,177,172,169
54, <class  'imageio.core.util.Array'> ,240,320,3,230400,255,0,152,157,153
55, <class  'imageio.core.util.Array'> ,361,640,3,693120,255,0,25,27,16
56, <class  'imageio.core.util.Array'> ,428,640,3,821760,255,0,164,184,159
57, <class  'imageio.core.util.Array'> ,531,640,3,1019520,255,0,160,198,199
58, <class  'imageio.core.util.Array'> ,351,640,3,673920,255,0,128,160,181
59, <class  'imageio.core.util.Array'> ,425,640,3,816000,255,0,159,142,112
60, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,135,135,135
61, <class  'imageio.core.util.Array'> ,333,500,3,499500,255,0,20,5,8
62, <class  'imageio.core.util.Array'> ,396,500,3,594000,255,1,240,240,240
63, <class  'imageio.core.util.Array'> ,361,640,3,693120,255,0,195,195,205
64, <class  'imageio.core.util.Array'> ,500,375,3,562500,255,0,254,253,251
65, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,182,123,109
66, <class  'imageio.core.util.Array'> ,640,427,3,819840,255,0,56,81,111
